date,time,number,abbr,sector,status,value
2004-02-11,10:01:54.391,GN63J3-R,SU,Energy Minerals,MERGED,0.95372705
2004-02-11,10:01:54.391,H5490W-R,GGG,Producer Manufacturing,MERGED,0.9527531
2004-02-11,10:01:54.391,V0622Q-R,WGR,Energy Minerals,MERGED,0.94763414
2004-02-11,10:01:54.391,GSWXLY-R,CWT,Utilities,MERGED,0.9341806
2004-02-11,10:01:54.391,VFT0VQ-R,BLL,Process Industries,MERGED,0.92286179
2004-02-11,10:01:54.391,DMX4QY-R,APA,Energy Minerals,MERGED,0.91211696
2004-02-11,10:01:54.391,D0MCMY-R,JW.B,Consumer Services,MERGED,0.90633303
2004-02-11,10:01:54.391,QVP8YX-R,MATX,Transportation,MERGED,0.86694571
2004-02-11,10:01:54.391,FJ4NDH-R,ROST,Retail Trade,MERGED,0.86478857
2004-02-11,10:01:54.391,W3DV77-R,AXL,Producer Manufacturing,MERGED,0.86147789
2004-02-11,10:01:54.391,J06Y9S-R,BRO,Finance,MERGED,0.8601051
2004-02-11,10:01:54.391,R85V3M-R,GFF,Producer Manufacturing,MERGED,0.85374956
2004-02-11,10:01:54.391,K14T6R-R,HUBB,Producer Manufacturing,MERGED,0.85002535
2004-02-11,10:01:54.392,MVGMR1-R,HTLD,Transportation,MERGED,0.84119618
2004-02-11,10:01:54.392,JBG9LM-R,BCR,Health Technology,MERGED,0.84047932
2004-02-11,10:01:54.392,MMMNG3-R,HGTXU,Miscellaneous,MERGED,0.83477513
2004-02-11,10:01:54.392,GC9695-R,SHW,Process Industries,MERGED,0.83230328
2004-02-11,10:01:54.392,R16QYT-R,FRK,Non-Energy Minerals,MERGED,0.82874657
2004-02-11,10:01:54.392,JQXJ62-R,SM,Energy Minerals,MERGED,0.82736969
2004-02-11,10:01:54.392,FFRDST-R,KSWS,Distribution Services,MERGED,0.82661732
2004-02-11,10:01:54.392,CHQR2M-R,CRK,Energy Minerals,MERGED,0.8229618
2004-02-11,10:01:54.392,RDPT1Z-R,PVAHQ,Energy Minerals,MERGED,0.8151989
2004-02-11,10:01:54.392,C6GJ92-R,MHM.XX1,Producer Manufacturing,MERGED,0.80854465
2004-02-11,10:01:54.392,MNRL1W-R,COKE,Consumer Non-Durables,MERGED,0.80672711
2004-02-11,10:01:54.392,CHK9QJ-R,JBHT,Transportation,MERGED,0.80523008
2004-02-11,10:01:54.392,LRHQLX-R,DLX,Commercial Services,MERGED,0.79919044
2004-02-11,10:01:54.392,TLQ31K-R,TTC,Producer Manufacturing,MERGED,0.79786376
2004-02-11,10:01:54.392,J70N5J-R,PCAR,Producer Manufacturing,MERGED,0.79525817
2004-02-11,10:01:54.392,Q1LDBW-R,SSP,Consumer Services,MERGED,0.79135826
2004-02-11,10:01:54.392,BWF04Q-R,SSNC.XX1,Technology Services,MERGED,0.78423289
2004-02-11,10:01:54.392,BYKL46-R,LII,Producer Manufacturing,MERGED,0.78166034
